,favorite_count,retweet_count,tweet_id
141,15195,3266,864279568663928832
142,31459,9616,864197398364647424
143,21477,4441,863907417377173506
144,15935,4489,863553081350529029
145,0,2687,863471782782697472
146,24829,5664,863432100342583297
147,2363,105,863427515083354112
148,9094,1195,863079547188785154
149,8945,2687,863062471531167744
150,20011,5457,862831371563274240
151,17779,3809,862722525377298433
152,21492,5388,862457590147678208
153,66437,21840,862096992088072192
154,0,37911,861769973181624320
155,37744,11528,861383897657036800
156,18032,4479,861288531465048066
157,17538,4119,861005113778896900
158,0,2334,860981674716409858
159,0,882,860924035999428608
160,7878,2334,860563773140209665
161,24678,5698,860524505164394496
162,19154,3745,860276583193509888
163,17474,6295,860184849394610176
164,0,33421,860177593139703809
165,20021,4349,859924526012018688
166,16105,3780,859851578198683649
167,19476,1704,859607811541651456
168,75193,25661,859196978902773760
169,35553,14740,859074603037188101
170,0,8805,858860390427611136
171,16304,3771,858843525470990336
172,22640,5271,858471635011153920
173,16524,3154,858107933456039936
174,16952,2812,857989990357356544
175,36021,11524,857746408056729600
176,6236,1785,857393404942143489
177,21041,4934,857263160327368704
178,242,20,857214891891077121
179,0,183,857062103051644929
180,19910,4364,857029823797047296
181,0,11633,856602993587888130
182,17135,3131,856543823941562368
183,12446,2068,856526610513747968
184,0,731,856330835276025856
185,545,17,856288084350160898
186,29086,6841,856282028240666624
187,320,27,855862651834028034
188,4407,1058,855860136149123072
189,12498,2313,855857698524602368
190,47844,19196,855851453814013952
191,28056,5943,855818117272018944
192,31657,8987,855459453768019968
193,0,6568,855245323840757760
194,0,50,855138241867124737
195,24188,6690,854732716440526848
196,31131,7608,854482394044301312
197,20046,5159,854365224396361728
198,33911,8285,854120357044912130
199,17169,3433,854010172552949760
200,30414,6403,853760880890318849
201,37198,11265,853639147608842240
202,16508,3928,853299958564483072
203,0,2243,852936405516943360
204,9658,2037,852912242202992640
205,15939,2388,852672615818899456
206,17492,3885,852553447878664193
207,35325,10961,852311364735569921
208,21378,7570,852226086759018497
209,12217,1741,852189679701164033
210,0,10706,851953902622658560
211,0,23,851861385021730816
212,17300,3819,851591660324737024
213,25944,7855,851464819735769094
214,22090,6350,851224888060895234
215,33348,10352,850753642995093505
216,13994,2915,850380195714523136
217,3647,367,850333567704068097
218,17519,4244,850145622816686080
219,21944,5459,850019790995546112
220,32390,8404,849776966551130114
221,0,5513,849668094696017920
222,17039,3487,849412302885593088
223,12240,2101,849336543269576704
224,32617,7396,849051919805034497
225,27104,4826,848690551926992896
226,20229,4037,848324959059550208
227,8834,832,848213670039564288
228,17618,3444,848212111729840128
229,0,3652,847978865427394560
230,0,482,847971574464610304
231,25296,5730,847962785489326080
232,5935,1522,847842811428974592
233,7558,468,847617282490613760
234,20208,3774,847606175596138505
235,22036,4800,847251039262605312
236,21588,6572,847157206088847362
237,23108,3583,847116187444137987
238,21685,4404,846874817362120707
239,48410,13076,846514051647705089
240,15304,3492,846505985330044928
241,34394,10226,846153765933735936
242,33188,10972,846139713627017216
243,17256,3224,846042936437604353
244,31737,9894,845812042753855489
245,27154,5365,845677943972139009
246,0,15071,845459076796616705
247,8241,2072,845397057150107648
248,25225,6039,845306882940190720
249,0,8640,845098359547420673
250,14738,2909,844979544864018432
251,16361,3617,844973813909606400
252,42022,11633,844704788403113984
253,17871,3533,844580511645339650
254,14753,2450,844223788422217728
255,16327,3285,843981021012017153
256,23211,5220,843856843873095681
257,18310,3081,843604394117681152
258,23315,6852,843235543001513987
259,0,56625,842892208864923648
260,16440,4023,842846295480000512
261,7321,1439,842765311967449089
262,19637,3937,842535590457499648
263,26569,6568,842163532590374912
264,15204,3386,842115215311396866
265,0,17504,841833993020538882
266,27854,8748,841680585030541313
267,13755,4168,841439858740625411
268,21402,6080,841320156043304961
269,17305,5312,841314665196081154
270,24926,5991,841077006473256960
271,0,1972,840761248237133825
272,0,18285,840728873075638272
273,197,3,840698636975636481
274,13377,1116,840696689258311684
275,9761,1972,840632337062862849
276,17918,5146,840370681858686976
277,20950,6497,840268004936019968
278,14640,2597,839990271299457024
279,29957,8805,839549326359670784
280,0,158,839290600511926273
281,29684,7422,839239871831150596
282,21289,4505,838952994649550848
283,12183,2357,838921590096166913
284,0,38,838916489579200512
285,0,12643,838831947270979586
286,11892,1504,838561493054533637
287,24664,5484,838476387338051585
288,0,11525,838201503651401729
289,1824,370,838150277551247360
290,150,0,838085839343206401
291,19183,3582,838083903487373313
292,37277,8952,837820167694528512
293,4204,495,837482249356513284
294,13967,2631,837471256429613056
295,23074,6005,837366284874571778
